Heosemys annandalii
Rhinobatos jimbaranensis
Rhinobatos albomaculatus
Glaucostegus halavi
Rhinobatos irvinei
Rhinobatos annandalei
Hongeo koreana
Gymnura tentaculata
Urotrygon reticulata
Myliobatis aquila
Cephaloscyllium silasi
Torpedo suessii
Hypanus rudis
Stereospermum gentryi
Ivodea macrocarpa
Pinus vallartensis
Boswellia nana
Pseudoblothrus oromii
Polydesmus ribeiraensis
Megaselia miguelensis
Stenoptilia meyeri
Chirothrips azoricus
Macarorchestia martini
Asaccus caudivolvulus
Hylarana nazgul
Pristimantis sambalan
Pristimantis saturninoi
Nasikabatrachus bhupathi
Hypogeophis pti
Anomaloglossus dewynteri
Ctenosaura bakeri
Fluminagrion taxaense
Globba magnibracteata
Argia haberi
Hetaerina dutati
Memecylon incisilobum
Gallicolumba platenae
Corvus unicolor
Cyrtodactylus gialaiensis
Gonystylus glaucescens
Hopea micrantha
Dipterocarpus cinereus
Dipterocarpus littoralis
Dryobalanops fusca
Hopea bancana
Hopea bilitonensis
Hopea inexpectata
Shorea induplicata
Shorea montigena
Vatica cauliflora
Vatica pentandra
Vatica soepadmoi
Myrcia monoclada
Shorea praestans
Oryzias soerotoi
Zingiber mawangense
Dipterocarpus cuspidatus
Saurauia borneensis
Rhododendron bullifolium
Gambusia beebei
Limia fuscomaculata
Limia garnieri
Limia grossidens
Limia immaculata
Limia miragoanensis
Limia nigrofasciata
Limia ornata
Limia rivasi
Limia sulphurophila
Quintana atrizona
Ilex keranjiensis
Ilex emmae
Widdringtonia whytei
Eriocnemis isabellae
Etheostoma segrex
Celtis lindheimeri
Pouteria briocheoides
Capparidastrum tuxtlense
Crossopetalum glabrum
Euonymus chiapensis
Gyminda fimbrillata
Monteverdia wendtii
Dichapetalum mexicanum
Tapura mexicana
Acidocroton madrigalensis
Bernardia albida
Bernardia macrocarpa
Enteromius bagbwensis
Enteromius boboi
Ellipanthus razanatsimae
Enteromius carcharhinoides
Enteromius clauseni
Enteromius melanotaenia
Bulbophyllum octorhopalon
Bulbophyllum sagemuelleri
Cyrtodactylus celatus
Pouteria areolatifolia
Palaquium mindanaense
Palaquium laevifolium
Madhuca diplostemon
Chrysophyllum albipilum
Manilkara pubicarpa
Micropholis macrophylla
Pouteria cinnamomea
Pouteria gigantea
Pouteria penicillata
Pouteria pisquiensis
Pouteria sessilis
Miconia hottensis
Citharexylum bourgeauianum
Euphorbia coalcomanensis
Jatropha mirandana
Calatola mollis
Mappia longipes
Mappia mexicana
Neea turbinata
Ouratea theophrasta
Agonandra goldbergiana
Cleyera serrulata
Cleyera velutina
Picramnia thomasii
Forchhammeria longifolia
Arachnothryx flocculosa
Arachnothryx jaliscensis
Arachnothryx latiloba
Arachnothryx mexicana
Bouvardia keniae
Chomelia anisophylla
Chomelia longituba
Coussarea chiapensis
Coussarea rafa-torresii
Deppea erythrorhiza
Faramea cobana
Faramea liebmannii
Gonzalagunia thyrsoidea
Guettarda coatzacoalcensis
Hoffmannia cauliflora
Palicourea perotensis
Randia aciculiflora
Randia dionisi
Randia manglaris
Randia mayana
Randia pascualii
Randia serboi
Arachnothryx galeottii
Sommera parva
Amyris chiapensis
Amyris thyrsiflora
Esenbeckia vazquezii
Esenbeckia velutina
Zanthoxylum quassiifolium
Meliosma nesites
Meliosma seleriana
Prockia krusei
Sideroxylon eriocarpum
Cestrum flavescens
Cestrum flavinervium
Zosterops rotensis
Styrax uxpanapensis
Recchia sessiliflora
Symplocos hintonii
Charadrius obscurus
Etlingera caudata
Etlingera chlorodonta
Etlingera doliiformis
Etlingera flavovirens
Etlingera mucida
Etlingera serrata
Etlingera urophylla
Etlingera xanthantha
Trilepisium gymnandrum
Sarada superba
Cnemaspis kottiyoorensis
Cnemaspis rajakarunai
Cnemaspis rammalensis
Uropeltis shorttii
Peruphasma schultei
Zenarchopterus robertsi
Vangueriopsis shimbaensis
Cornus darvasica
Uvaria diplocampta
Capparis grandidieri
Terminalia exelliana
Cleidion capuronii
Euphorbia analamerae
Euphorbia elastica
Radcliffea smithii
Albizia verrucosa
Baudouinia capuronii
Gagnebina bakoliae
Senna suarezensis
Xyris boliviana
Manihot stellata
Mimosa chiquitaniensis
Passovia diffusa
Stigmaphyllon boliviense
Pavonia chiquitensis
Cienfuegosia angustifolia
Eugenia teresa-ruiziana
Spermacoce santacruciana
Spermacoce velascoana
Xyris crassifunda
Xyris guillenii
Premna aureolepidota
Premna madagascariensis
Dombeya ambohitrensis
Dombeya lecomteopsis
Dombeya longepedicellata
Dombeya milleri
Dombeya pauciflora
Dombeya ratovosonii
Dombeya rosacea
Dombeya sakamaliensis
Dombeya sely
Dombeya seyrigiana
Dombeya tavia
Dombeya tsiandrensis
Grewia monantha
Grewia perrieri
Grewia tsiandrensis
Stemonurus apicalis
Acritodon nephophilus
Lijndenia darainensis
Memecylon isaloense
Turraea anomala
Eugenia calciscopulorum
Eugenia vanwykiana
Syzygium tapiaka
Noronhia populifolia
Arboa antsingyae
Uncarina ankaranensis
Uncarina platycarpa
Uncarina turicana
Stachyandra imberbis
Psydrax sambiranensis
Schizenterospermum analamerense
Homalium brachyrhachis
Homalium intercedens
Ludia imontiensis
Ludia myrtoides
Scolopia septentrionalis
Beguea borealis
Capurodendron costatum
Pouzolzia mandrarensis
Neostethus ctenophorus
Neostethus robertsi
Triplophysa kashmirensis
Manilkara sahafarensis
Manilkara suarezensis
Impatiens gordonii
Pteralopex pulchra
Pristimantis phragmipleuron
Chelonoidis phantasticus
Milyeringa justitia
Galaxias sp. nov. 'Hunter'
Galaxias sp. nov. 'Yalmy'
Galaxias sp. nov. 'Morwell'
Galaxias sp. nov. 'Moroka'
Galaxias rostratus
Galaxias tanycephalus
Cairnsichthys bitaeniatus
Hypseleotris ejuncida
Chlamydogobius gloveri
Chlamydogobius squamigenus
Pampusana erythroptera
Humbertiella foliosa
Palaquium barnesii
Palaquium bintuluense
Palaquium burckii
Palaquium pierrei
Aulandra beccarii
Bemangidia lowryi
Isopogon fletcheri
Persoonia pauciflora
Ctenella chagius
Corvus kubaryi
Dendrogyra cylindrus
Strigops habroptilus
Psychotria silhouettae
Bahaba taipingensis
Houbaropsis bengalensis
Rhynchorhina mauritaniensis
Geospiza pauper
Pternistis ochropectus
Costularia andringitrensis
Costularia humbertii
Nemosia rourei
Lophornis brachylophus
Synallaxis maranonica
Formicivora paludicola
Anas laysanensis
Grallaria chthonia
Antilophia bokermanni
Troglodytes monticola
Lipaugus weberi
Oreomystis bairdi
Loxops caeruleirostris
Telespiza ultima
Crocodylus rhombifer
Lathamus discolor
Cyanoramphus malherbi
Neophema chrysogaster
Craugastor gulosus
Xenotoca doadrioi
Xenotoca lyonsi
Gymnomyza aubryana
Anthochaera phrygia
Sciaena callaensis
Leucocarbo onslowi
Thalasseus bernsteini
Puya roseana
Sylvilagus mansuetus
Ptilinopus huttoni
Greigia nubigena
Greigia ocellata
Pitcairnia lindae
Puya boyacana
Puya cleefii
Puya dichroa
Puya furfuracea
Puya santanderensis
Tillandsia chartacea
Tillandsia cuatrecasasii
Cavendishia dendrophila
Cavendishia jardinensis
Cavendishia nuda
Cavendishia sophoclesioides
Orthaea caudata
Thibaudia fallax
Puya brackeana
Puya hirtzii
Puya nigrescens
Puya ramonii
Puya simulans
Tillandsia truxillana
Reseda balansae
Nothobranchius mkuziensis
Partula cramptoni
Zingiber arunachalensis
Amomum riwatchii
Globba tembatensis
Zingiber engganoense
Zingiber yersinii
Curcuma leonidii
Curcuma pygmaea
Coscinodon monchiquensis
Grallaria fenwickorum
Pterodroma magentae
Pterorhinus courtoisi
Ophrysia superciliosa
Tadorna cristata
Vini ultramarina
Puffinus bryani
Lewinskya lamyana
Puffinus myrtae
Brieya latipetala
Pseudobulweria aterrima
Pseudobulweria becki
Pseudobulweria macgillivrayi
Pterodroma phaeopygia
Pterodroma caribbaea
Astyanax salvatoris
Puffinus auricularis
Phoebastria irrorata
Hydrobates macrodactylus
Diomedea dabbenena
Puffinus mauretanicus
Fregetta maoriana
Tetrapleurodon spadiceus
Huberantha mossambicensis
Curcuma supraneeana
Newmania serpens
Zingiber singapurense
Freziera apolobambensis
Ceratostema glans
Ceratostema macbrydeorum
Adelmeria leonardoi
Curcuma newmanii
Eucalyptus morrisbyi
Ceratostema pensile
Diogenesia gracilipes
Disterigma bracteatum
Disterigma micranthum
Sphyrospermum flaviflorum
Sphyrospermum haughtii
Sphyrospermum microphyllum
Sphyrospermum muscicola
Sphyrospermum spruceanum
Themistoclesia campii
Themistoclesia inflata
Baccharis davidsonii
Eucalyptus dolorosa
Eucalyptus purpurata
Eucalyptus silvestris
Eucalyptus beardiana
Eucalyptus orophila
Eucalyptus ornans
Eucalyptus carolaniae
Eucalyptus crenulata
Eucalyptus yarriambiack
Eucalyptus foliosa
Eucalyptus imlayensis
Eucalyptus impensa
Sorbus luristanica
Leucogeranus leucogeranus
Ardeotis nigriceps
Pseudibis davisoni
Squatina japonica
Ceyx sangirensis
Otus siaoensis
Thaumatibis gigantea
Ardea insignis
Oriolus isabellae
Lithocarpus formosanus
Eutrichomyias rowleyi
Afrithelphusa afzelii
Afrithelphusa leonensis
Liberonautes grandbassa
Liberonautes lugbe
Hypsipetes platenae
Zosterops nehrkorni
Espeletia paipana
Coespeletia laxiflora
Espeletia azucarina
Espeletia cachaluensis
Espeletia dugandii
Espeletia mirabilis
Espeletia miradorensis
Espeletia oswaldiana
Espeletia raquirensis
Espeletia soroca
Espeletia steyermarkii
Espeletia tibamoensis
Espeletiopsis betancurii
Espeletiopsis caldasii
Espeletiopsis diazii
Astyanax eremus
Atlantirivulus maricensis
Campellolebias brucei
Characidium grajahuense
Crenicichla cyclostoma
Cynolebias griseus
Ladigesia roloffi
Callopanchax monroviae
Epiplatys coccinatus
Fundulopanchax powelli
Fundulopanchax scheeli
Scriptaphyosemion etzeli
Scriptaphyosemion schmitti
Parauchenoglanis buettikoferi
Garra trewavasae
Labeo curriei
Synodontis dekimpei
Synodontis guttatus
Synodontis macrophthalmus
Synodontis tourei
Synodontis xiphias
Acipenser naccarii
Acipenser stellatus
Acipenser gueldenstaedtii
Acipenser persicus
Cottus petiti
Huso huso
Barbatula quignardi
Knipowitschia mrakovcici
Zanthoxylum mayu
Cola kodminensis
Cola etugei
Microcondylaea bonellii
Vatica bantamensis
Cassipourea fanshawei
Eisenia anzac
Garypus titanius
Calacalles azoricus
Cixius cavazoricus
Hadena azorica
Phlogophora kruegeri
Homoeosoma miguelensis
Homoeosoma picoensis
Neomariania incertella
Tachysurus medianalis
Silurus mento
Garra festai
Garra widdowsoni
Hypancistrus zebra
Pleodendron costaricense
Hopea macrocarpa
Labeobarbus ruasae
Aporosa fusiformis
Isoetes cangae
Gorilla gorilla
Anisophyllea globosa
Anisophyllea impressinervia
Kokoona sabahana
Parinari argenteosericea
Dipterocarpus lamellatus
Madhuca markleeana
Madhuca vulpina
Pterocephalus centennii
Warneckea sessilicarpa
Phyllanthus tsetserrae
Elaeocarpus pinosukii
Syzygium badescens
Syzygium khoonmengianum
Syzygium kudatense
Nephelium aculeatum
Melanochyla woodiana
Semecarpus angulatus
Semecarpus sandakanus
Timonius pannosus
Saurauia sammanniana
Saurauia pereirae
Tapirira chimalapana
Hypsolebias gilbertobrasili
Hypsolebias marginatus
Hypsolebias tocantinensis
Ituglanis bambui
Ituglanis epikarsticus
Ituglanis mambai
Kryptolebias campelloi
Tellia apodus
Apricaphanius saourensis
Achondrostoma occidentale
Carasobarbus harterti
Chondrostoma soetta
Coregonus atterensis
Coregonus danneri
Coregonus lucinensis
Coregonus bavaricus
Cobitis jadovaensis
Delminichthys krbavensis
Delminichthys jadovensis
Knipowitschia milleri
Pelasgus epiroticus
Romanichthys valsanicola
Squalius lucumonis
Scardinius scardafa
Salmo balcanicus
Salvelinus willoughbii
Salmo cettii
Salmo fibreni
Valencia letourneuxi
Zingel balcanicus
Telestes fontinalis
Telestes polylepis
Anadelphia pumila
Desmopsis flagelliflora
Desmopsis migueliana
Desmopsis monticola
Ilex servinii
Ilex socorroensis
Beaucarnea hiriartiae
Beaucarnea recurvata
Tithonia koelzii
Cordia colimensis
Bursera madrigalii
Alangium circulare
Hopea depressinerva
Shorea rotundifolia
Shorea dispar
Maclurodendron parviflorum
Gonystylus decipiens
Gonystylus pendulus
Saurauia brevicymula
Saurauia chaiana
Saurauia jugahii
Saurauia minutiflora
Saurauia runiae
Saurauia urophylla
Orophea clemensiana
Hopea obscurinerva
Lithocarpus melataiensis
Walsura sarawakensis
Ficus limosa
Syzygium crypteronioides
Syzygium eugeniiforme
Xanthophyllum ceraceifolium
Scaphium burkillfilii
Beilschmiedia bracteata
Beilschmiedia vermoesenii
Cleistanthus evrardii
Placodiscus paniculatus
Beilschmiedia ambigua
Eucalyptus filiformis
Eucalyptus walshii
Ateleia popenoei
Cyperus correllii
Spermacoce felis-insulae
Chalcides ebneri
Gallotia stehlini
Prockiopsis grandis
Anisophyllea parafallax
Isolona capuronii
Xylopia ghesquiereana
Xylopia humbertii
Polyscias kalabenonensis
Polyscias wohlhauseri
Beccariophoenix fenestralis
Dypsis pustulata
Vernonia ampandrandavensis
Phyllarthron laxinervium
Phyllarthron nocturnum
Phyllarthron sahamalazensis
Phyllarthron schatzii
Phyllarthron vokoaninensis
Canarium ampasindavae
Canarium fugax
Canarium galokense
Canarium manongarivum
Leptaulus madagascariensis
Garcinia multifida
Elaeocarpus occidentalis
Sloanea bathiei
Croton maevaranensis
Lobanilia crotonoides
Macaranga cupularis
Macaranga racemosa
Pantadenia gervaisii
Suregada grandiflora
Suregada humbertii
Dicoryphe lanceolata
Psorospermum cornifolium
Psorospermum sexlineatum
Vitex lastellei
Vitex phillyreifolia
Cryptocarya alseodaphnifolia
Cryptocarya capuronii
Cryptocarya caryoptera
Cryptocarya glabriflora
Cryptocarya louvelii
Cryptocarya megaphylla
Cryptocarya ocoteifolia
Cryptocarya pallidifolia
Cryptocarya robynsiana
Cryptocarya rotundifolia
Cryptocarya velutina
Ocotea eriothyrsa
Ocotea rigidifolia
Ocotea tsaratananensis
Dombeya acuminatissima
Dombeya albotomentosa
Dombeya amplifolia
Dombeya ambatosoratrensis
Dombeya ankaratrensis
Dombeya asymmetrica
Dombeya coriopsis
Dombeya costulatinervia
Dombeya decaryi
Dombeya dufournetii
Dombeya erythroclada
Dombeya floribunda
Dombeya glabripes
Dombeya glechomifolia
Dombeya humbertiana
Dombeya leandrii
Dombeya macropoda
Dombeya mananarensis
Dombeya marojejyensis
Dombeya micrantha
Dombeya perrieri
Dombeya pilosissima
Dombeya ploocarpa
Dombeya rienanensis
Dombeya roseiflora
Dombeya tomentosa
Dombeya urschiana
Dombeya xiphosepalopsis
Grewia analamerensis
Grewia sely
Grewia speciosa
Hibiscus grandistipulatus
Hibiscus mangindranensis
Hibiscus benedicti
Nesogordonia rakotovaoi
Dichaetanthera ciliata
Dichaetanthera grandifolia
Dichaetanthera madagascariensis
Lijndenia melastomoides
Lijndenia ramiflora
Memecylon fianarantse
Memecylon tsaratananense
Memecylon uapacoides
Warneckea madagascariensis
Warneckea masoalae
Warneckea pulviniflora
Astrotrichilia elegans
Malleastrum mocquerysi
Trichilia tsaratananensis
Ephippiandra tsaratanensis
Tambourissa dorrii
Tambourissa floricostata
Tambourissa nosybensis
Eugenia muscicola
Eugenia razakamalalae
Eugenia sihanakensis
Eugenia vatomandrensis
Noronhia marojejyensis
Noronhia obcordifolia
Noronhia randrianaivoi
Noronhia retusifolia
Pandanus darainensis
Aristogeitonia uapacifolia
Ardisia marojejyensis
Myrsine mocquerysii
Cassipourea ellipticifolia
Gyrostipula obtusa
Ixora trimera
Lemyrea marojejyensis
Payera madagascariensis
Payera mandrarensis
Peponidium ihosyense
Peponidium pallens
Psychotria andapae
Razafimandimbisonia regalis
Schismatoclada villiflora
Zanthoxylum subspicatum
Calantica pseudobiseriata
Homalium decaryanum
Homalium randrianasoloi
Homalium ranomafanicum
Homalium schatzii
Ludia pachyadenia
Ludia faradifani
Beguea ankeranensis
Beguea betamponensis
Beguea birkinshawii
Beguea galokensis
Camptolepis crassifolia
Capurodendron antongiliense
Capurodendron pseudoterminalia
Donella capuronii
Faucherea longepedicellata
Labramia sambiranensis
Manilkara capuronii
Sideroxylon tambolokoko
Schizolaena raymondii
Octolepis ibityensis
Prockiopsis razakamalalae
Liolaemus lutzae
Vepris mandangoana
Allophylus agbala
Searsia grossireticulata
Dactyladenia sapinii
Combretum kasaiense
Combretum towaense
Croton congensis
Croton poggei
Pycnocoma subflava
Tetraberlinia baregarum
Beilschmiedia donisii
Beilschmiedia hermanii
Warneckea superba
Maesobotrya pierlotii
Rytigynia squamata
Allophylus amplissimus
Mimusops giorgii
Octolobus grandis
Quercus blaoensis
Cinnamomum kotoense
Beilschmiedia giorgii
Cryptocarya elliptifolia
Ocotea harrisii
Nectandra apiculata
Nectandra brochidodroma
Nectandra cerifolia
Nectandra cordata
Nectandra filiflora
Alseodaphne micrantha
Phoebe mathewsii
Dehaasia acuminata
Dehaasia pugerensis
Endiandra scrobiculata
Cinnamomum walaiwarense
Castanopsis glabra
Aloe mangeaensis
Lebbiea grandiflora
Caridina glaubrechti
Caridina lanceolata
Caridina lingkonae
Caridina loehae
Caridina masapi
Caridina parvula
Caridina profundicola
Caridina spinata
Caridina striata
Caridina tenuirostris
Caridina woltereckae
Mesanthemum cupricola
Brachycephalus quiririensis
Linochilus chrysotrichus
Pentacalia diamantensis
Berberis carupensis
Berberis uribei
Miconia jentaculorum
Elleanthus cinnabarinus
Epidendrum wolfii
Pterichis colombiana
Aragoa hammenii
Aragoa parviflora
Aragoa picachensis
Matticnemis doi
Leporinus pitingai
Leptolebias marmoratus
Leptopanchax splendens
Listrura costai
Loricaria coximensis
Microglanis robustus
Moema piriana
Senecio bertramii
Nematolebias catimbau
Teijsmanniodendron punctatum
Wahlenbergia tibestica
Bolboschoenus grandispicus
Elatine fauquei
Eriocaulon adamesii
Eriocaulon obtriangulare
Neoplecostomus botucatu
Ophthalmolebias constanciae
Ophthalmolebias ilheusensis
Pimelodella spelaea
Plesioptopoma curvidens
Keetia futa
Chaerophyllum syriacum
Sternarchorhynchus higuchii
Sternarchorhynchus jaimei
Trichogenes claviger
Esenbeckia conspecta
Elaeocarpus chewii
Hypoplectrus liberte
Megalagrion leptodemas
Megalagrion molokaiense
Megalagrion nesiotes
Megalagrion williamsoni
Indigofera gobensis
Ilex gardneriana
Manilkara hoshinoi
Manilkara samoensis
Cryosophila williamsii
Desmopsis wendtii
Desmopsis mexicana
Desmopsis guerrerensis
Ilex williamsii
Cinnamomum englerianum
Cinnamomum longipedicellatum
Cinnamomum rosselianum
Cinnamomum talawaense
Beilschmiedia dielsiana
Beilschmiedia longifolia
Beilschmiedia pubescens
Beilschmiedia pullenii
Beilschmiedia rosseliana
Beilschmiedia sericea
Beilschmiedia triplinervis
Betta omega
Peromyscus interparietalis
Peromyscus pseudocrinitus
Peromyscus slevini
Mergus octosetaceus
Planchonella nebulicola
Syzygium anomalum
Syzygium gjellerupii
Syzygium grevesianum
Syzygium leptophlebium
Syzygium normanbiensc
Syzygium novoguineense
Syzygium ovalifolium
Syzygium rambutyense
Syzygium recurvovenosum
Syzygium roseum
Syzygium salpinganthum
Syzygium subamplexicaule
Syzygium trichotomum
Syzygium uniflorum
Syzygium watutense
Psychotria lolokiensis
Actinodaphne caesia
Actinodaphne engleriana
Actinodaphne latifolia
Actinodaphne ledermannii
Actinodaphne novoguineensis
Actinodaphne obtusa
Actinodaphne pulchra
Actinodaphne solomonensis
Antiaropsis uniflora
Archidendron gogolense
Archidendron trifoliolatum
Arytera morobeana
Barringtonia serenae
Bridelia triplocarya
Casearia brassii
Cleistanthus normanbyanus
Croton griseus
Croton leptanthus
Cryptocarya alticola
Cryptocarya angica
Cryptocarya arfakensis
Cryptocarya atra
Cryptocarya aurea
Cryptocarya boemiensis
Cryptocarya carrii
Cryptocarya darusensis
Cryptocarya dipterocarpifolia
Cryptocarya durifolia
Cryptocarya flavisperma
Cryptocarya gonioclada
Cryptocarya graehneriana
Cryptocarya impressivena
Cryptocarya macrophylla
Cryptocarya ovata
Cryptocarya pachyphylla
Cryptocarya pergamentacea
Cryptocarya pusilla
Cryptocarya rarinervia
Cryptocarya rhizophoretum
Cryptocarya schlechteri
Cryptocarya sericeotriplinervia
Cryptocarya subtrinervis
Cryptocarya tebaensis
Cryptocarya tesselata
Cryptocarya tetragona
Cryptocarya whiteana
Cryptocarya womersleyi
Dendrolobium papuacola
Dolicholobium longifructum
Dolicholobium rufiflorum
Endiandra albiramea
Endiandra archboldiana
Endiandra arfakensis
Endiandra asymmerrica
Endiandra djamuensis
Endiandra faceta
Endiandra ferruginea
Endiandra havelii
Endiandra macrostemon
Endiandra minutiflora
Endiandra multiflora
Endiandra oviformis
Endiandra sphaerica
Endiandra teschneriana
Eucalyptopsis alauda
Eurya fragilis
Eurya rehderiana
Eurya ryozoana
Ficus boanensis
Ficus myiopotamica
Ficus novahibernica
Ficus sclerosycia
Fontainea subpapuana
Geniostoma trichostylum
Glochidion conostylum
Glochidion drypetifolium
Glochidion kopiaginis
Glochidion lalae
Litsea buinensis
Macaranga amentifera
Metrosideros ovata
Pandanus clarkei
Pandanus hooglandii
Psychotria butibumensis
Psychotria chrysanthoides
Psychotria dipteropodioides
Psychotria heterophylla
Psychotria longipaniculata
Psychotria streimannii
Rhodamnia kamialiensis
Rhodomyrtus kaweaensis
Rhodomyrtus takeuchii
Steganthera hentyi
Timonius akunensis
Timonius repertus
Trigonostemon hartleyi
Xanthomyrtus splendens
Beilschmiedia ledermannii
Tapeinosperma magnifica
Astronia columnaris
Acronychia richards-beehleri
Litsea morobensis
Litsea perlucida
Litsea mafuluensis
Mischarytera bullata
Alangium glabrum
Alangium ledermannii
Eumachia goodenoughiensis
Litsea aureo-sericea
Aiouea opaca
Nepenthes tboli
Heptapleurum gjellerupii
Carcharhinus cerdale
Oophaga histrionica
Serratorotula acarinata
Cecilioides eulima
Anaecypris punica
Inversodicraea koukoutamba
Bolitoglossa cataguana
Nototriton mime
Plectrohyla calvata
Craugastor castanedai
Cryptotriton necopinus
Tovomita aequatoriensis
Beilschmiedia aborensis
Beilschmiedia angustielliptica
Beilschmiedia atra
Beilschmiedia brandisii
Beilschmiedia congestiflora
Beilschmiedia crassipes
Beilschmiedia descoingsii
Beilschmiedia gallatlyi
Beilschmiedia gitingensis
Beilschmiedia jabassensis
Beilschmiedia javanica
Beilschmiedia kostermansiana
Beilschmiedia lancifolia
Beilschmiedia macrocarpa
Beilschmiedia macrophylla
Beilschmiedia membranifolia
Beilschmiedia ndongensis
Beilschmiedia neoletestui
Beilschmiedia ovoidea
Beilschmiedia papyracea
Beilschmiedia pauciflora
Beilschmiedia pellegrinii
Beilschmiedia purpurea
Beilschmiedia rufolanata
Beilschmiedia shangsiensis
Beilschmiedia sichourensis
Beilschmiedia thollonii
Beilschmiedia turbinata
Beilschmiedia yangambiensis
Beilschmiedia zahnii
Gigantopelta aegis
Dracogyra subfuscus
Lirapex politus
Bruceiella wareni
Iphinopsis boucheti
Cinnamomum bhamoensis
Cinnamomum bhaskarii
Cinnamomum brachythyrsum
Cinnamomum champokianum
Cinnamomum cupulatum
Cinnamomum gracillimum
Cinnamomum hkinlumense
Cinnamomum kingdon-wardii
Cinnamomum lanaoense
Cinnamomum loheri
Cinnamomum lohitensis
Cinnamomum oblongum
Cinnamomum pachypes
Cinnamomum paraneuron
Cinnamomum perglabrum
Cinnamomum petiolatum
Cinnamomum rufotomentosum
Cinnamomum sancti-caroli
Cinnamomum sessilifolium
Cinnamomum sumatranum
Cinnamomum travancoricum
Cinnamomum trintaense
Cinnamomum utile
Ixora kalehensis
Oncorhynchus sp. nov. 'Baluarte Trout'
Oncorhynchus sp. nov. 'Acaponeta Trout'
Oncorhynchus sp. nov. 'Northern Conchos Trout'
Selysioneura drymobia
Podiceps gallardoi
Salmo viridis
Dalbergia luteola
Dalbergia calderonii
Epigomphus morrisoni
Epigomphus wagneri
Columbina cyanopis
Aspidura ravanai
Aspidura desilvai
Trillium georgianum
Huso dauricus
Caspiomyzon graecus
Coregonus austriacus
Coregonus fontanae
Pseudoxandra parvifolia
Telestes miloradi
Lampetra auremensis
Lampetra lusitanica
Salvelinus salvelinoinsularis
Valencia robertae
Pericnemis melansoni
Pandanobasis daku
Risiocnemis laguna
Drepanosticta furcata
Drepanosticta makilingia
Drepanosticta sugbo
Drepanosticta trimaculata
Sulcosticta viticula
Aiouea elegans
Aiouea floccosa
Aiouea kruseana
Aiouea leptophylla
Aiouea palaciosii
Psychotria volii
Hemicycla modesta
Deinbollia nyasica
Rawsonia burtt-davyi
Hirtella beckii
Miconia galeiformis
Ficus chaparensis
Eugenia krukoffiana
Eugenia mandonii
Pisonia indecora
Cymbopetalum parviflorum
Panopsis magnifructa
Mosannona vasquezii
Aubregrinia taiensis
Talbotiella gentii
Elaeocarpus blascoi
Pradosia argentea
Croton rosarianus
Leptopanchax opalescens
Parambassis altipinnis
Tetracentrum caudovittatus
Craterocephalus kailolae
Mogurnda furva
Mogurnda spilota
Mogurnda variegata
Mogurnda vitta
Coelatura essoensis
Pleiodon ovatus
Chilatherina sentaniensis
Glossolepis wanamensis
Melanotaenia ajamaruensis
Melanotaenia corona
Melanotaenia oktediensis
Melanotaenia parva
Pseudomugil paskai
Hephaestus adamsoni
Styrax panamensis
Ilex lasseri
Oreopanax cumanensis
Oreopanax humboldtianus
Attalea wesselsboeri
Ageratina paramensis
Calea sipapoana
Macrobrachium oxyphilus
Edoneus atheatus
Critoniopsis turmalensis
Gongylolepis paruana
Piptocoma areolata
Cordia cabanayensis
Eugenia zelayensis
Meliosma nanarum
Paramachaerium gruberi
Olisthopus inclavatus
Moquilea tachirensis
Aeranthes africana
Podachaenium salvadorense
Citharexylum teclense
Dalbergia glomerata
Gobiobotia naktongensis
Microphysogobio rapidus
Asterogyne yaracuyense
Sloanea cataniapensis
Croton turumiquirensis
Uladendron codesuri
Eucalyptus dalveenica
Colicodendron valerabellum
Aldina diplogyne
Campsiandra curaara
Campsiandra ferruginea
Gymnanthes belizensis
Oreochromis karongae
Oreochromis squamipinnis
Chindongo saulosi
Melanochromis lepidiadaptes
Nyassachromis breviceps
Corematodus shiranus
Mchenga conophoros
Aulonocara baenschi
Aulonocara maylandi
Aulonocara kandeense
Melanochromis chipokae
Pseudotropheus cyaneorhabdos
Metriaclima usisyae
Metriaclima koningsi
Labeo mesops
Jacqueshuberia splendens
Machaerium cultratum
Machaerium orthocarpum
Macrolobium cataractarum
Macrolobium floridum
Macrolobium spectabile
Peltophorum venezuelense
Recordoxylon pulcherrimum
Longitarsus mellissi
Tarphiophasis leleupi
Bursera exequielii
Bursera itzae
Bursera jerzyi
Bursera zapoteca
Swartzia jimenezii
Emmotum yapacanum
Clerodendrum margaritense
Gustavia tejerae
Shorea foraminifera
Shorea iliasii
Shorea revoluta
Hopea rudiformis
Amphilophus zaliosus
Astyanax kompi
Katara connexa
Cheilosia varnensis
Cheilosia katara
Merodon sacki
Riponnensia daccordii
Merodon longispinus
Brachyopa minima
Platycheirus altomontis
Merodon andriotes
Merodon arundanus
Eumerus azabense
Eumerus pannonicus
Eumerus nivariae
Eupeodes biciki
Gavialis gangeticus
Diacidia hypoleuca
Heteropterys huberi
Blakea steyermarkii
Axinaea fernando-cabiesii
Miconia chapensis
Ouratea multibracteata
Ouratea orisina
Ouratea rotundipetala
Ardisia apoda
Parathesis williamsii
Cordia cardenasiana
Cordia skutchii
Moquilea guatemalensis
Symplocos abietorum
Pouteria quicheana
Ocotea oblongifolia
Ocotea amplifolia
Eugenia papalensis
Lonchocarpus hydrophilus
Lepidonia corae
Erythrina castillejiflora
